event_name,block_number,txhash,log_index,timestamp,id,proposer,targets,values,signatures,calldatas,startBlock,endBlock,description,voter,proposalId,support,votes,reason,eta,oldVotingDelay,newVotingDelay,oldVotingPeriod,newVotingPeriod,oldImplementation,newImplementation,oldProposalThreshold,newProposalThreshold,oldPendingAdmin,newPendingAdmin,oldAdmin,newAdmin,contract_address
NewImplementation,12006099,0x2fdbaee2ac15cfbe04ddb020f84f072fa353e5703a84a422d6ca3cf734dd1855,93,2021-03-09T19:07:59,,,,,,,,,,,,,,,,,,,,0x0000000000000000000000000000000000000000,0xAAAaaAAAaaaa8FdB04F544F4EEe52939CddCe378,,,,,,,0xc0Da02939E1441F497fd74F78cE7Decb17B66529
ProposalCreated,12235671,0xe34419e8d64845b5fb920ce265d23c14def48de2bc09e4159fce5e09a819a56e,270,2021-04-14T03:00:21,43.0,0x8169522c2C57883E8EF80C498aAB7820dA539806,"['0xc0Da02939E1441F497fd74F78cE7Decb17B66529', '0xc0Da02939E1441F497fd74F78cE7Decb17B66529']","[0, 0]","['_setVotingDelay(uint256)', '_setVotingPeriod(uint256)']","[b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x003T', b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00L\xfe']",12235672.0,12252952.0,"# Governance Analysis Period
Following the upgrade to the [Governor Bravo](https://compound.finance/governance/proposals/42), it's now possible to update the parameters of the Governance system.

Over the past year, a recurring request has been a [formal analysis period](https://www.comp.xyz/t/formal-analysis-period-for-larger-proposals/70) before proposals enter the voting state. This would allow the community and developers additional time to audit new contracts and proposals for errors, and users the opportunity to move COMP or delegations prior to a vote commencing.

This proposal updates the proposal [voting delay](https://compound.finance/docs/governance#voting-delay) from 1 block to 13140 blocks (2 days), and the voting period from 17280 blocks (2.63 days) to 19710 blocks (3 days). These parameter changes will improve the community’s ability to prepare for votes and increase the security of the protocol.",,,,,,,,,,,,,,,,,,,0xc0Da02939E1441F497fd74F78cE7Decb17B66529
VoteCast,12235811,0xe4f5af0a4649965e5e0594e642b72af8a4252a395148669270deb2bb86f211e7,8,2021-04-14T03:32:17,,,,,,,,,,0xc1a69F906Ce4366C0C77e0219b3132FeA0969231,43.0,1.0,200000000000000000,,,,,,,,,,,,,,,0xc0Da02939E1441F497fd74F78cE7Decb17B66529
VoteCast,12235919,0xb4bf8ef60abf84ee2417a32dd07804928aad711afc3ac378cc3651448ec31514,95,2021-04-14T03:58:58,,,,,,,,,,0x7f843D2dF640B5F986B9C14C405A1728f8084D0B,43.0,1.0,64126463650272834603,"Two day public bug bounty is an excellent idea, especially since we can now cancel proposals if bugs are found.",,,,,,,,,,,,,,0xc0Da02939E1441F497fd74F78cE7Decb17B66529
VoteCast,12235967,0x7eda17e8eb6bfa5bf5e1c775804a6f39d865f5d390d6ab1a680bed27aaae8de4,34,2021-04-14T04:08:04,,,,,,,,,,0x0006e4548AED4502ec8c844567840Ce6eF1013f5,43.0,1.0,38110144938082669,,,,,,,,,,,,,,,0xc0Da02939E1441F497fd74F78cE7Decb17B66529
VoteCast,12236460,0xcc7c9957621e45f0251b030f29c0c0288fe2d5c4ea6e117d2ebf4edeb21d0d56,18,2021-04-14T05:54:41,,,,,,,,,,0x5BC928BF0DAb1e4A2ddd9e347b0F22e88026D76c,43.0,1.0,57785755787858402606729,,,,,,,,,,,,,,,0xc0Da02939E1441F497fd74F78cE7Decb17B66529
VoteCast,12237547,0x19620bb630aa62055b31b34857bba5083538931cc968884e7949145fb707ac6d,192,2021-04-14T10:03:13,,,,,,,,,,0xA8C6F6e2dFbDeDEDD157a5363D38d7d074d83985,43.0,1.0,8000760247931606604837,,,,,,,,,,,,,,,0xc0Da02939E1441F497fd74F78cE7Decb17B66529
VoteCast,12238878,0x990fe7626b996e835b86ef95b4267bdd421f0a0f24ca7de2346c45c8ecd5693d,154,2021-04-14T14:58:23,,,,,,,,,,0x6626593C237f530D15aE9980A95ef938Ac15c35c,43.0,1.0,126083714959599512231401,,,,,,,,,,,,,,,0xc0Da02939E1441F497fd74F78cE7Decb17B66529
VoteCast,12238921,0xa2782fbfddcddbfb05e9e8b5cefdaf76cf871e400686ea4b37485244ac67b6bc,312,2021-04-14T15:11:15,,,,,,,,,,0xd83256a8BB182e7BE2382550Ed24861C71108d35,43.0,1.0,199722650000000000,,,,,,,,,,,,,,,0xc0Da02939E1441F497fd74F78cE7Decb17B66529
VoteCast,12239090,0x5418842c3f672611c1d2dfb941a5b7696e9acfe19074e674341a47633a78eb85,62,2021-04-14T15:43:52,,,,,,,,,,0x8d07D225a769b7Af3A923481E1FdF49180e6A265,43.0,1.0,7514383348797380917632,Big fan of this change - now as a delegate I can give delegators opportunity to undelegate their votes if they disagree with me.,,,,,,,,,,,,,,0xc0Da02939E1441F497fd74F78cE7Decb17B66529
