proposalId,voter,nondatabase_ens_name,sybil_name,compound_api_name,database_ens_name
1.0,0xeD409c9fF60f3020abF9012bcd45Fc294f5608fF,,,Polychain Capital,[]
1.0,0x8169522c2C57883E8EF80C498aAB7820dA539806,,,Geoffrey Hayes,[]
1.0,0xE5A52921901C58971ba60725651Dc28bdE98BEB9,,,ParaFi Capital,[]
2.0,0xeD409c9fF60f3020abF9012bcd45Fc294f5608fF,,,Polychain Capital,[]
2.0,0x8169522c2C57883E8EF80C498aAB7820dA539806,,,Geoffrey Hayes,[]
2.0,0x7e4A8391C728fEd9069B2962699AB416628B19Fa,,Dharma_HQ,Dharma,['dharma-staging.eth']
3.0,0x8169522c2C57883E8EF80C498aAB7820dA539806,,,Geoffrey Hayes,[]
3.0,0x5d8908aFEE1DF9f7f0830105f8BE828F97Ce9e68,,argentHQ,Argent,[]
3.0,0x3429Ac6eFffe28D870667cF3A963017666b6F481,,,Robert Leshner (Test Wallet),[]
3.0,0x54A37d93E57c5DA659F508069Cf65A381b61E189,,,blck,[]
4.0,0x5d8908aFEE1DF9f7f0830105f8BE828F97Ce9e68,,argentHQ,Argent,[]
4.0,0x54A37d93E57c5DA659F508069Cf65A381b61E189,,,blck,[]
4.0,0x3429Ac6eFffe28D870667cF3A963017666b6F481,,,Robert Leshner (Test Wallet),[]
5.0,0xA1b61405791170833070C0eA61eD28728A840241,,,Paradigm,[]
5.0,0x54A37d93E57c5DA659F508069Cf65A381b61E189,,,blck,[]
5.0,0x3429Ac6eFffe28D870667cF3A963017666b6F481,,,Robert Leshner (Test Wallet),[]
6.0,0x8169522c2C57883E8EF80C498aAB7820dA539806,,,Geoffrey Hayes,[]
6.0,0x7e4A8391C728fEd9069B2962699AB416628B19Fa,,Dharma_HQ,Dharma,['dharma-staging.eth']
6.0,0x5d8908aFEE1DF9f7f0830105f8BE828F97Ce9e68,,argentHQ,Argent,[]
6.0,0x54A37d93E57c5DA659F508069Cf65A381b61E189,,,blck,[]
6.0,0x3429Ac6eFffe28D870667cF3A963017666b6F481,,,Robert Leshner (Test Wallet),[]
7.0,0xeD409c9fF60f3020abF9012bcd45Fc294f5608fF,,,Polychain Capital,[]
7.0,0x8169522c2C57883E8EF80C498aAB7820dA539806,,,Geoffrey Hayes,[]
7.0,0x7e4A8391C728fEd9069B2962699AB416628B19Fa,,Dharma_HQ,Dharma,['dharma-staging.eth']
7.0,0x5d8908aFEE1DF9f7f0830105f8BE828F97Ce9e68,,argentHQ,Argent,[]
8.0,0xF25f26A42ADCB153B1966A4Bf5df6d0C9e27197f,,,a16z,[]
8.0,0xeD409c9fF60f3020abF9012bcd45Fc294f5608fF,,,Polychain Capital,[]
8.0,0xAC5720d6EE2d7872b88914C9c5Fa9BF38e72FaF6,,,Robert Leshner,[]
9.0,0xF25f26A42ADCB153B1966A4Bf5df6d0C9e27197f,,,a16z,[]
9.0,0xAC5720d6EE2d7872b88914C9c5Fa9BF38e72FaF6,,,Robert Leshner,[]
9.0,0x8169522c2C57883E8EF80C498aAB7820dA539806,,,Geoffrey Hayes,[]
10.0,0xF25f26A42ADCB153B1966A4Bf5df6d0C9e27197f,,,a16z,[]
10.0,0xeD409c9fF60f3020abF9012bcd45Fc294f5608fF,,,Polychain Capital,[]
10.0,0xA1b61405791170833070C0eA61eD28728A840241,,,Paradigm,[]
11.0,0xA1b61405791170833070C0eA61eD28728A840241,,,Paradigm,[]
11.0,0x5b97680e165B4DbF5C45f4ff4241e85F418c66C2,kain.eth,,Kain | Synthetix,[]
11.0,0x54A37d93E57c5DA659F508069Cf65A381b61E189,,,blck,[]
11.0,0x7e4A8391C728fEd9069B2962699AB416628B19Fa,,Dharma_HQ,Dharma,['dharma-staging.eth']
12.0,0xA1b61405791170833070C0eA61eD28728A840241,,,Paradigm,[]
12.0,0xAC5720d6EE2d7872b88914C9c5Fa9BF38e72FaF6,,,Robert Leshner,[]
12.0,0x54A37d93E57c5DA659F508069Cf65A381b61E189,,,blck,[]
12.0,0x7e4A8391C728fEd9069B2962699AB416628B19Fa,,Dharma_HQ,Dharma,['dharma-staging.eth']
13.0,0x9695cfaa368718DD6790a6F57B633D83F565893e,,,Alameda Research,[]
13.0,0x54A37d93E57c5DA659F508069Cf65A381b61E189,,,blck,[]
14.0,0x6626593C237f530D15aE9980A95ef938Ac15c35c,,gauntletnetwork,Gauntlet,['gauntletnetworks.eth']
14.0,0xAC5720d6EE2d7872b88914C9c5Fa9BF38e72FaF6,,,Robert Leshner,[]
14.0,0x8169522c2C57883E8EF80C498aAB7820dA539806,,,Geoffrey Hayes,[]
14.0,0x9695cfaa368718DD6790a6F57B633D83F565893e,,,Alameda Research,[]
14.0,0x5b97680e165B4DbF5C45f4ff4241e85F418c66C2,kain.eth,,Kain | Synthetix,[]
15.0,0x6626593C237f530D15aE9980A95ef938Ac15c35c,,gauntletnetwork,Gauntlet,['gauntletnetworks.eth']
15.0,0xA1b61405791170833070C0eA61eD28728A840241,,,Paradigm,[]
15.0,0xAC5720d6EE2d7872b88914C9c5Fa9BF38e72FaF6,,,Robert Leshner,[]
15.0,0x8169522c2C57883E8EF80C498aAB7820dA539806,,,Geoffrey Hayes,[]
15.0,0x9695cfaa368718DD6790a6F57B633D83F565893e,,,Alameda Research,[]
16.0,0xeD409c9fF60f3020abF9012bcd45Fc294f5608fF,,,Polychain Capital,[]
16.0,0x6626593C237f530D15aE9980A95ef938Ac15c35c,,gauntletnetwork,Gauntlet,['gauntletnetworks.eth']
16.0,0xAC5720d6EE2d7872b88914C9c5Fa9BF38e72FaF6,,,Robert Leshner,[]
17.0,0x6626593C237f530D15aE9980A95ef938Ac15c35c,,gauntletnetwork,Gauntlet,['gauntletnetworks.eth']
17.0,0xAC5720d6EE2d7872b88914C9c5Fa9BF38e72FaF6,,,Robert Leshner,[]
17.0,0x5b97680e165B4DbF5C45f4ff4241e85F418c66C2,kain.eth,,Kain | Synthetix,[]
17.0,0x54A37d93E57c5DA659F508069Cf65A381b61E189,,,blck,[]
18.0,0xeD409c9fF60f3020abF9012bcd45Fc294f5608fF,,,Polychain Capital,[]
18.0,0x8169522c2C57883E8EF80C498aAB7820dA539806,,,Geoffrey Hayes,[]
18.0,0x5b97680e165B4DbF5C45f4ff4241e85F418c66C2,kain.eth,,Kain | Synthetix,[]
19.0,0x6626593C237f530D15aE9980A95ef938Ac15c35c,,gauntletnetwork,Gauntlet,['gauntletnetworks.eth']
19.0,0x8169522c2C57883E8EF80C498aAB7820dA539806,,,Geoffrey Hayes,[]
19.0,0x54A37d93E57c5DA659F508069Cf65A381b61E189,,,blck,[]
19.0,0x7e4A8391C728fEd9069B2962699AB416628B19Fa,,Dharma_HQ,Dharma,['dharma-staging.eth']
20.0,0xeD409c9fF60f3020abF9012bcd45Fc294f5608fF,,,Polychain Capital,[]
20.0,0x6626593C237f530D15aE9980A95ef938Ac15c35c,,gauntletnetwork,Gauntlet,['gauntletnetworks.eth']
21.0,0x9AA835Bc7b8cE13B9B0C9764A52FbF71AC62cCF1,,,a16z,[]
21.0,0xeD409c9fF60f3020abF9012bcd45Fc294f5608fF,,,Polychain Capital,[]
22.0,0xeD409c9fF60f3020abF9012bcd45Fc294f5608fF,,,Polychain Capital,[]
22.0,0xAC5720d6EE2d7872b88914C9c5Fa9BF38e72FaF6,,,Robert Leshner,[]
23.0,0x8169522c2C57883E8EF80C498aAB7820dA539806,,,Geoffrey Hayes,[]
23.0,0x7e4A8391C728fEd9069B2962699AB416628B19Fa,,Dharma_HQ,Dharma,['dharma-staging.eth']
